Prodi,Kota_Asal,JENIS_KELAMIN,JURUSAN_SMA,IPK
8,15,1,2,2.81
2,15,2,4,2.81
12,15,2,19,2.81
6,9,1,1,2.81
1,11,2,2,2.8
2,15,1,4,2.8
2,15,2,2,2.8
4,15,1,2,2.8
4,12,2,2,2.79
2,15,1,4,2.79
3,15,1,2,2.79
4,15,1,2,2.79
3,15,1,6,2.79
12,15,1,2,2.79
6,20,2,1,2.79
3,20,1,2,2.79
3,15,1,4,2.78
2,15,1,2,2.78
3,15,2,6,2.78
12,15,1,2,2.78
4,29,2,1,2.78
4,29,1,1,2.78
12,11,1,19,2.77
2,12,2,1,2.77
12,12,1,2,2.77
12,12,1,2,2.77
3,15,1,4,2.77
5,15,1,4,2.77
6,15,2,3,2.77
2,15,1,2,2.77
2,15,1,4,2.77
5,15,2,19,2.77
10,15,1,2,2.77
3,26,2,1,2.77
2,29,2,1,2.77
2,9,2,2,2.77
5,11,1,18,2.76
5,12,1,2,2.76
5,12,1,2,2.76
2,15,2,4,2.76
5,15,1,6,2.76
3,9,1,4,2.76
2,15,1,2,2.75
3,15,1,2,2.75
3,15,1,2,2.75
3,15,1,2,2.75
3,15,1,2,2.75
9,15,1,4,2.75
3,20,1,4,2.75
4,11,2,2,2.74
5,15,1,2,2.74
3,15,1,6,2.74
5,15,2,4,2.74
2,11,2,4,2.73
10,11,1,4,2.73
12,15,1,2,2.73
2,15,2,2,2.73
3,15,1,1,2.73
3,12,1,19,2.72
3,15,2,4,2.72
5,15,1,2,2.72
6,15,2,2,2.72
10,15,1,18,2.72
3,15,1,4,2.72
3,15,1,2,2.72
9,15,1,2,2.71
9,15,1,2,2.71
2,15,1,4,2.71
9,15,1,4,2.71
2,22,1,2,2.71
6,24,2,2,2.71
3,12,1,2,2.7
2,15,2,2,2.7
2,15,2,2,2.7
2,15,2,4,2.7
3,15,2,19,2.7
3,15,1,2,2.7
9,15,1,2,2.7
10,15,1,4,2.7
9,11,1,4,2.69
10,12,1,1,2.69
2,15,2,4,2.69
4,15,1,1,2.69
3,15,1,2,2.69
9,20,1,2,2.69
2,11,2,4,2.68
10,12,1,13,2.68
10,12,1,1,2.68
2,15,2,2,2.68
2,15,1,4,2.68
2,15,1,2,2.68
2,15,2,2,2.68
2,15,2,4,2.68
2,15,1,2,2.68
2,15,2,4,2.68
6,15,1,2,2.68
3,15,2,6,2.68
3,15,1,2,2.68
3,15,2,4,2.68
12,15,1,2,2.68
4,11,2,5,2.67
4,12,1,2,2.67
2,15,2,2,2.67
2,15,1,6,2.67
9,15,1,2,2.67
3,24,2,2,2.67
3,4,1,2,2.67
2,12,2,4,2.66
10,12,2,2,2.66
2,15,2,2,2.66
6,15,1,2,2.66
8,15,2,6,2.66
2,20,2,2,2.66
3,15,1,2,2.65
5,15,1,2,2.65
4,15,2,5,2.65
7,11,2,2,2.64
2,15,2,2,2.64
3,15,1,4,2.64
3,15,1,5,2.64
3,15,1,2,2.64
12,15,1,2,2.64
4,12,2,2,2.63
1,15,1,2,2.63
2,15,2,2,2.63
2,15,1,4,2.63
3,15,1,2,2.63
6,15,1,2,2.62
8,15,1,2,2.62
3,15,1,2,2.62
5,15,2,15,2.62
5,15,1,2,2.62
2,28,1,1,2.62
3,29,2,2,2.62
2,15,2,7,2.61
2,15,2,4,2.6
7,15,2,2,2.6
3,15,1,4,2.6
4,15,2,6,2.6
2,11,1,2,2.59
2,31,2,4,2.59
3,15,2,2,2.58
2,20,1,2,2.58
3,29,2,2,2.58
4,19,2,2,2.57
4,2,2,1,2.57
5,12,2,2,2.56
3,15,1,2,2.56
9,15,1,4,2.55
4,11,2,4,2.53
9,15,1,4,2.53
3,15,1,2,2.53
2,9,1,13,2.53
5,12,1,2,2.52
3,15,1,2,2.52
4,15,1,19,2.51
9,15,1,4,2.5
3,15,2,19,2.49
10,15,1,6,2.49
9,15,1,2,2.48
3,9,1,13,2.47
2,9,2,4,2.45
10,15,1,2,2.42
3,15,1,4,2.4
3,29,2,1,2.4
2,12,2,2,2.32
